gameId,day,month,year,timeKey
20000001,31,10,2000,1
20000002,31,10,2000,2
20000003,31,10,2000,3
20000004,31,10,2000,4
20000005,31,10,2000,5
20000006,31,10,2000,6
20000007,31,10,2000,7
20000008,31,10,2000,8
20000009,31,10,2000,9
20000010,31,10,2000,10
20000011,31,10,2000,11
20000012,31,10,2000,12
20000013,31,10,2000,13
20000014,1,11,2000,14
20000015,1,11,2000,15
20000016,1,11,2000,16
20000017,1,11,2000,17
20000018,1,11,2000,18
20000019,1,11,2000,19
20000020,1,11,2000,20
20000021,2,11,2000,21
20000022,2,11,2000,22
20000023,2,11,2000,23
20000024,2,11,2000,24
20000025,2,11,2000,25
20000026,2,11,2000,26
20000027,2,11,2000,27
20000028,3,11,2000,28
20000029,3,11,2000,29
20000030,3,11,2000,30
20000031,3,11,2000,31
20000032,3,11,2000,32
20000033,3,11,2000,33
20000034,4,11,2000,34
20000035,4,11,2000,35
20000036,4,11,2000,36
20000037,4,11,2000,37
20000038,4,11,2000,38
20000039,4,11,2000,39
20000040,4,11,2000,40
20000041,4,11,2000,41
20000042,4,11,2000,42
20000043,4,11,2000,43
20000044,4,11,2000,44
20000045,4,11,2000,45
20000046,4,11,2000,46
20000047,4,11,2000,47
20000048,5,11,2000,48
20000049,5,11,2000,49
20000050,6,11,2000,50
20000051,6,11,2000,51
20000052,6,11,2000,52
20000053,6,11,2000,53
20000054,6,11,2000,54
20000055,7,11,2000,55
20000056,7,11,2000,56
20000057,7,11,2000,57
20000058,7,11,2000,58
20000059,7,11,2000,59
20000060,7,11,2000,60
20000061,8,11,2000,61
20000062,8,11,2000,62
20000063,8,11,2000,63
20000064,8,11,2000,64
20000065,8,11,2000,65
20000066,8,11,2000,66
20000067,8,11,2000,67
20000068,8,11,2000,68
20000069,8,11,2000,69
20000070,8,11,2000,70
20000071,8,11,2000,71
20000072,9,11,2000,72
20000073,9,11,2000,73
20000074,9,11,2000,74
20000075,9,11,2000,75
20000076,9,11,2000,76
20000077,9,11,2000,77
20000078,9,11,2000,78
20000079,10,11,2000,79
20000080,10,11,2000,80
20000081,10,11,2000,81
20000082,10,11,2000,82
20000083,10,11,2000,83
20000084,10,11,2000,84
20000085,10,11,2000,85
20000086,11,11,2000,86
20000087,11,11,2000,87
20000088,11,11,2000,88
20000089,11,11,2000,89
20000090,11,11,2000,90
20000091,11,11,2000,91
20000092,11,11,2000,92
20000093,11,11,2000,93
20000094,11,11,2000,94
20000095,11,11,2000,95
20000096,12,11,2000,96
20000097,12,11,2000,97
20000098,12,11,2000,98
20000099,12,11,2000,99
20000100,12,11,2000,100
20000101,13,11,2000,101
20000102,13,11,2000,102
20000103,14,11,2000,103
20000104,14,11,2000,104
20000105,14,11,2000,105
20000106,14,11,2000,106
20000107,14,11,2000,107
20000108,14,11,2000,108
20000109,14,11,2000,109
20000110,14,11,2000,110
20000111,15,11,2000,111
20000112,15,11,2000,112
20000113,15,11,2000,113
20000114,15,11,2000,114
20000115,15,11,2000,115
20000116,15,11,2000,116
20000117,15,11,2000,117
20000118,15,11,2000,118
20000119,16,11,2000,119
20000120,16,11,2000,120
20000121,16,11,2000,121
20000122,16,11,2000,122
20000123,16,11,2000,123
20000124,16,11,2000,124
20000125,16,11,2000,125
20000126,17,11,2000,126
20000127,17,11,2000,127
20000128,17,11,2000,128
20000129,17,11,2000,129
20000130,17,11,2000,130
20000131,17,11,2000,131
20000132,17,11,2000,132
20000133,17,11,2000,133
20000134,18,11,2000,134
20000135,18,11,2000,135
20000136,18,11,2000,136
20000137,18,11,2000,137
20000138,18,11,2000,138
20000139,18,11,2000,139
20000140,18,11,2000,140
20000141,18,11,2000,141
20000142,18,11,2000,142
20000143,18,11,2000,143
20000144,19,11,2000,144
20000145,19,11,2000,145
20000146,19,11,2000,146
20000147,19,11,2000,147
20000148,20,11,2000,148
20000149,20,11,2000,149
20000150,20,11,2000,150
20000151,20,11,2000,151
20000152,20,11,2000,152
20000153,21,11,2000,153
20000154,21,11,2000,154
20000155,21,11,2000,155
20000156,21,11,2000,156
20000157,21,11,2000,157
20000158,21,11,2000,158
20000159,22,11,2000,159
20000160,22,11,2000,160
20000161,22,11,2000,161
20000162,22,11,2000,162
20000163,22,11,2000,163
20000164,22,11,2000,164
20000165,22,11,2000,165
20000166,22,11,2000,166
20000167,22,11,2000,167
20000168,22,11,2000,168
20000169,22,11,2000,169
20000170,23,11,2000,170
20000171,24,11,2000,171
20000172,24,11,2000,172
20000173,24,11,2000,173
20000174,24,11,2000,174
20000175,24,11,2000,175
20000176,24,11,2000,176
20000177,24,11,2000,177
20000178,24,11,2000,178
20000179,24,11,2000,179
20000180,24,11,2000,180
20000181,24,11,2000,181
20000182,25,11,2000,182
20000183,25,11,2000,183
20000184,25,11,2000,184
20000185,25,11,2000,185
20000186,25,11,2000,186
20000187,25,11,2000,187
20000188,25,11,2000,188
20000189,25,11,2000,189
20000190,25,11,2000,190
